tracer	set	bytes	url	vospace_path
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	31680	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom2_unc.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom2_unc.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	67187	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom2_unc.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_mom2_unc.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	83520	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_noise_subcube_slab.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_noise_subcube_slab.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	31680	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_peakT.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_peakT.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	66193	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_peakT.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_peakT.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	8640	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_pvd_major.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_pvd_major.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	64043	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_pvd_major.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_pvd_major.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	8640	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_pvd_minor.fits	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_pvd_minor.fits
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	63394	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_pvd_minor.pdf	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_pvd_minor.pdf
HI21cm	VERTICO-reprocessed VIVA HI ~15as products v1.2.3	828	https://ws-cadc.canfar.net/vault/files/VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_rad_prof.csv	VERTICO/public/multiwavelength/viva/products/v1.2.3/IC3392/IC3392_viva_hi_15as_np_round_reproj_rad_prof.csv
