GALAXY,PGC,DIST,INCL,PA,HAS_BAR,OM_P_ALMA,OM_P_ALMA_ERR_UP,OM_P_ALMA_ERR_DOWN,OM_P_ALMA_QUAL,OM_P_MUSE_MASS,OM_P_MUSE_MASS_ERR_UP,OM_P_MUSE_MASS_ERR_DOWN,OM_P_MUSE_MASS_QUAL,OM_P_MUSE_HA,OM_P_MUSE_HA_ERR_UP,OM_P_MUSE_HA_ERR_DOWN,OM_P_MUSE_HA_QUAL,R_CR_ALMA_1,R_CR_ALMA_1_ERR,R_CR_MUSE_MASS_1,R_CR_MUSE_MASS_1_ERR,R_CR_MUSE_HA_1,R_CR_MUSE_HA_1_ERR,LITERATURE_OM_P,LITERATURE_OM_P_ERR,LITERATURE_OM_P_REF
NGC3351,32007,9.960000038146973,45.099998474121094,193.1999969482422,1,60.51085233238971,7.152176037523906,12.567562248882158,1.0,43.60781074843836,11.55728309496115,12.411067597401587,1.0,89.67181966318108,12.637602557810686,16.279592226484393,3.0,2.9000000000000004,1.2000000000000002,3.35,0.7500000000000004,2.45,1.6500000000000004,,,
NGC3489,33160,11.859999656677246,63.68000030517578,70.0,0,193.87555484278548,78.9229324295059,56.78301196432932,4.0,,,,,,,,,,,,,,,,,
NGC3507,33390,23.549999237060547,21.700000762939453,55.79999923706055,1,33.874726700764654,2.292871799830981,1.5938861084623324,1.0,,,,,,,,,0.11267942190170288,0.11267942190170288,,,,,,,
NGC3511,33385,13.9399995803833,75.0999984741211,256.79998779296875,1,22.569316110872304,1.8488222999034678,0.8711737655805002,1.0,,,,,,,,,5.744120621681214,1.4710552811622613,,,,,,,
NGC3521,33550,13.239999771118164,68.80000305175781,343.0,0,35.72440977002456,0.3502457276048526,0.6842725866901204,1.0,,,,,,,,,6.442678552865982,0.35464285612106305,,,,,,,
NGC3596,34298,11.0,25.100000381469727,78.4000015258789,0,67.78872730562509,0.593759393912444,1.118486586011491,1.0,,,,,,,,,1.8514850020408629,1.1435642659664151,,,,,,,
NGC3599,34326,19.860000610351562,23.0,41.900001525878906,0,55.5971940687167,16.02407950239519,13.018079376581321,4.0,,,,,,,,,,,,,,,,,
NGC3621,34554,7.059999942779541,65.80000305175781,343.79998779296875,0,36.303126095960344,0.41701841140249146,0.41365656829307884,2.0,,,,,,,,,3.443902587890625,0.16143293380737278,,,,,,,
NGC3626,34684,20.049999237060547,46.599998474121094,165.1999969482422,1,170.2278543830562,11.6133203189153,4.132536224778745,1.0,,,,,,,,,1.4786874085664747,0.37593747675418854,,,,,,,
NGC3627,34695,11.319999694824219,57.29999923706055,173.10000610351562,1,45.79794236131075,0.9969976636212005,2.531588258446675,1.0,29.12833037438878,20.59248243125573,8.118037985589494,2.0,50.68737683205367,5.591111419960077,6.353906992381859,1.0,4.712204265594483,0.4819299817085261,1.9009460389614103,0.0803216636180879,4.230274283885955,1.44578994512558,52.803486553103966,,2004ApJ...614..142R
NGC4207,39206,15.779999732971191,64.5,121.9000015258789,0,64.58042639974016,4.575790331238225,14.83638545995647,4.0,,,,,,,,,1.1506250500679016,1.1506250500679016,,,,,,,
NGC4254,39578,13.0,34.400001525878906,68.0999984741211,0,47.30100804294333,1.7782930882959727,1.7380081876637088,1.0,52.43858980856927,6.208867833399252,4.455491327794189,3.0,36.12969347511653,0.45570999533002193,0.3002001864007299,3.0,3.404762029647827,0.3482142984867096,3.114583447575569,0.6383928805589676,4.449404925107956,0.580357164144516,31.8709063299719,12.258040896143038,2004PASJ...56L..45E
NGC4293,39907,15.760000228881836,65.0,48.29999923706055,1,185.18884524529886,6.266672822382414,4.815532246357037,4.0,,,,,,,,,0.17237500250339508,0.17237500250339508,,,,,,,
NGC4298,39950,13.0,59.20000076293945,313.8999938964844,0,27.1722103937825,0.7485561725079828,0.21291224068648693,1.0,,,,,,,,,4.7976192235946655,0.580357164144516,,,,,,,
NGC4303,40001,16.989999771118164,23.5,312.3999938964844,1,46.6739961652923,2.20244633224113,8.193404667736743,1.0,43.518410689641584,5.282630293293607,10.01966218989743,1.0,48.409305354373934,2.488160974844677,6.7192547957258,1.0,3.957897496223449,2.316818046569824,3.813096368312835,2.461619174480438,3.8854969322681425,2.3892186105251305,46.19967244969258,6.026044232568596,2002ApJ...575..826S
