key,file_name,bytes_size,subcategory,sortingCategory,restricted,visible,updated,version
psi-data/PSI-32/Raw Data/2018_355_181220_V11_3628191789_BEC_0p3LinDec_10msTOF_tSlosh_tSlosh_1_L1.zip,2018_355_181220_V11_3628191789_BEC_0p3LinDec_10msTOF_tSlosh_tSlosh_1_L1.zip,244350884,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_355_181220_V11_3628191789_BEC_0p3LinDec_10msTOF_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_355_181220_V11_3628191789_BEC_0p3LinDec_10msTOF_tSlosh_tSlosh_2_L1.zip,2018_355_181220_V11_3628191789_BEC_0p3LinDec_10msTOF_tSlosh_tSlosh_2_L1.zip,6146023,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_355_181220_V11_3628191789_BEC_0p3LinDec_10msTOF_tSlosh_tSlosh_2_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_351_181217_V11_3627926580_STA_0msHold_TOF_TOF_1_L1.zip,2018_351_181217_V11_3627926580_STA_0msHold_TOF_TOF_1_L1.zip,21957632,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_351_181217_V11_3627926580_STA_0msHold_TOF_TOF_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_351_tabs_to_pngs.csv,2018_351_tabs_to_pngs.csv,27244,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_351_181217_V11_3627926580_STA_0msHold_TOF_TOF_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_351_181217_V11_3627931253_STA_0msHold_TOF_TOF_1_L1.zip,2018_351_181217_V11_3627931253_STA_0msHold_TOF_TOF_1_L1.zip,48854349,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_351_181217_V11_3627931253_STA_0msHold_TOF_TOF_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_354_181220_V11_3628173798_STA2_20msTOF_tSlosh_tSlosh_1_L1.zip,2018_354_181220_V11_3628173798_STA2_20msTOF_tSlosh_tSlosh_1_L1.zip,195046227,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_354_181220_V11_3628173798_STA2_20msTOF_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_354_tabs_to_pngs.csv,2018_354_tabs_to_pngs.csv,37405,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_354_181220_V11_3628173798_STA2_20msTOF_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_356_181221_V11_3628277517_STA4_181022base_tSlosh_tSlosh_1_L1.zip,2018_356_181221_V11_3628277517_STA4_181022base_tSlosh_tSlosh_1_L1.zip,85095769,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_356_181221_V11_3628277517_STA4_181022base_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_025_190124_BEC_VariedRF_RFf_1_L1.zip,2019_025_190124_BEC_VariedRF_RFf_1_L1.zip,85279611,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_025_190124_BEC_VariedRF_RFf_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2019_025_tabs_to_pngs.csv,2019_025_tabs_to_pngs.csv,23232,Legacy/CAL - Consortium for Ultracold Atoms in Space/2019_025_190124_BEC_VariedRF_RFf_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
