experiment_index,phi_Rb87_rad,phi_Rb85_rad,dphi_rad
206,-1.489490502989323,-1.3045193092783585,0.18497119371096815
207,1.8461890383696833,0.1111380050605284,-1.7350510333091584
208,0.9639659442064961,1.2333202223583193,0.2693542781518268
209,2.335592669012396,2.8759187598800473,0.540326090867655
210,-0.0774415235572512,-1.1556783470641783,-1.0782368235069235
211,-0.02352835795303676,-0.7667622653168102,-0.7432339073637699
212,-1.550515674280117,-2.752258178461762,-1.2017425041816487
213,0.24618512215818456,-1.8870973252324852,-2.133282447390666
214,2.1701133624142734,1.8137177353672094,-0.3563956270470605
215,-2.8114268536711897,2.8830596816059106,-0.5886987719024823
216,2.137321223832611,1.2746976247021884,-0.8626235991304263
217,-0.5519414649384053,-0.1476751798210465,0.4042662851173624
218,2.243405404484708,1.184192229215565,-1.0592131752691465
219,2.1600235914203942,1.8676707980622815,-0.29235279335811626
220,2.8004856746152633,1.4554807428089696,-1.3450049318062973
221,-2.7151210412405113,-2.989379283230395,-0.27425824198988025
222,-0.9684728558855191,-0.9888806084952613,-0.020407752609738594
223,-0.9423510508764359,-1.6246994667131354,-0.6823484158366959
224,-1.9244968118822179,-2.5571865141050303,-0.632689702222816
225,1.4419282626952956,1.0561449146830348,-0.3857833480122643
226,-1.7760993441326853,2.1921889708629614,-2.314896992183929
227,1.6357605347998536,1.54853681653179,-0.08722371826805997
228,1.9211430149181759,1.921948372923918,0.0008053580057385545
229,2.712998843831638,1.7813168342755965,-0.9316820095560381
230,-2.379992296321472,-2.9189369259686693,-0.5389446296472009
231,0.04706207427289044,-1.3088608485009523,-1.3559229227738392
232,1.1709582989298148,0.7832146547804832,-0.38774364414933515
233,1.4921274773031108,1.4321619097058793,-0.05996556759722793
234,-2.535113710386245,2.8268532156811226,-0.9212183811122081
235,2.4386669758226454,2.0605755616645958,-0.37809141415804604
236,-1.0647113378926,-1.5526435600901145,-0.48793222219751087
237,0.13583911687891614,-0.6406579525575715,-0.7764970694364841
238,-0.15940392317636665,-1.3386554409718023,-1.1792515177954321
239,-2.8068892615527155,-2.479408922447977,0.32748033910474206
240,0.9676117521876542,-1.057079497610328,-2.0246912497979785
241,1.5372968216612541,0.9131011905068114,-0.6241956311544463
242,0.3149329301215751,0.09166046792512716,-0.22327246219644437
243,3.108444948451318,2.1862219040005506,-0.9222230444507709
244,0.8790475274289697,0.19935874629961248,-0.6796887811293537
245,2.409039162115416,1.9414072656451005,-0.4676318964703192
246,2.208977703547145,2.1550406340580714,-0.05393706948907706
247,2.0277946927301365,1.2794673929067777,-0.7483272998233552
248,-1.2587733360258078,-2.1095173223318646,-0.8507439863060533
249,-2.017541762846964,-2.597634408311972,-0.5800926454650117
250,2.570342463580939,2.038908481284647,-0.5314339822962886
251,-0.977326710448704,-2.1228426123455186,-1.145515901896811
252,-2.2970953720226355,2.3404296785972782,-1.6456602565596619
253,0.014065922903444772,0.3720634532882521,0.35799753038481086
254,1.8739777843858398,1.0649664831259322,-0.8090113012599112
255,-1.223185067524792,-1.4782972198307753,-0.25511215230597983
256,-0.06960975204847486,-0.9180023888168272,-0.8483926367683488
257,0.5037282912820764,0.3652654685962524,-0.13846282268582044
258,-0.2388178995602992,-0.7494931486813066,-0.5106752491210038
259,-1.4172661037767362,-2.3970610608241962,-0.9797949570474564
260,2.850016801801356,2.537528083011278,-0.31248871879007467
261,-0.3008922675247696,-0.372332024621425,-0.07143975709665185
262,-0.0403686052456429,-0.24327169809694382,-0.20290309285129737
