sample_index,a_z_m_per_s2
668,-0.0002750340004465823
669,0.00023626814155091973
670,0.0003956102834432434
671,-0.00039096157476960116
672,-0.00001785743308760422
673,-0.00008803429151075517
674,-0.00018575915003904414
675,0.000120824991327539
676,-0.00008821986741099595
677,-0.00047004572625463845
678,0.0002711654147966213
679,-0.0004914977442572068
680,-0.0001302863034161123
681,-0.0002205851626800852
682,-0.000027119022049115608
683,0.00006932111847680683
684,0.00014312625889769184
685,-0.00019508260078645028
686,0.00012177553942439054
687,0.00021369267953022433
688,-0.00016748618046893879
689,0.00032562595942691114
690,0.00043845809921778435
691,0.00009764723890369096
692,-0.00024185662151535918
693,-0.000513267682039356
694,0.00006575965733171074
695,0.000024950796597851088
696,-0.000526015664240925
697,-0.0005900287251846073
698,-0.00013503978623318575
699,-0.0003558326473866506
700,-0.0001404005086449913
701,-0.00023623837000819812
702,-0.00006776323147626088
703,-0.00006775809304916962
704,-0.0004926199547269142
705,-0.00022065181650948458
706,-0.0006422645783968706
707,-0.00010744554038906218
708,0.00005315759751395061
709,0.00016535373531217782
710,-0.00007761512699437038
711,0.00016676001059431618
712,-0.00006945385192175268
713,0.00011779328545743312
714,-0.00020977357726811635
715,0.0003964555599016092
716,0.0002757046969666195
717,0.000016063833926924774
718,0.00010982397078253519
719,-0.00010633389246653938
720,0.0005681562441797112
721,0.00011704138072129674
722,0.00001134351715822773
723,0.0005500816534905139
724,0.0002681077897181656
725,-0.00004928707415880742
726,0.00016315206185960485
727,0.00029673219777341284
728,0.00016325133358262626
729,0.00042810646928725525
730,0.0000410436048873101
731,0.00042264474038280055
732,-0.00017818012422626334
733,0.0001514070110601286
734,-0.00016268185375801364
735,0.0002360042813193201
736,0.0003864014162921396
737,0.000054858551160455135
738,0.0002917076859242768
739,0.000051116820583614435
740,0.0000596759551384781
741,0.000247872089588878
742,0.00010028822393482405
743,0.00014814235817632647
744,0.00030104049231339516
745,-0.00008662537365395999
746,-0.00008662023972572867
747,-0.00009643110590190103
748,-0.00007685097218246696
749,0.00021592016143258364
750,-0.0006116096050567391
751,-0.00043864457165042553
752,0.0002079185616515346
753,-0.0004284843051508486
754,0.00006104282794243486
755,-0.00014521003906860507
756,4.62809381604186e-6
757,-0.00010060077340361449
758,-0.000237464640727564
759,-0.00048004300815579666
760,-0.0001738493756883027
761,-0.0003531462433250717
762,-0.00012490711106609377
763,-0.00010549397891135894
764,-0.00022408984686085712
765,0.00038296628508542173
766,-0.0003394195830725126
767,-0.00029326245133464964
768,0.00025869668029902034
769,-0.0001321851881714926
770,-0.0002810530567461784
771,-0.000058765925425027093
772,0.00048359120579197126
773,-0.00015668666309517296
774,-0.00004609853208644994
775,0.0005143705988181503
776,-0.00014532627038136225
777,-0.0005566652396849776
778,-0.0003797920090926854
779,0.00011205712139552388
780,-0.000025286748220339325
781,-0.0004045666179402651
782,0.00006222551223575648
783,-0.0002849173576922647
784,-0.00030720122772431825
785,0.00011219990213960553
786,0.00026557903189951683
787,-0.00014115983844457448
788,-0.00014115470889265833
789,-0.00030483057944472464
790,-0.00025530145010076345
791,-0.00011284332086076466
792,0.0001030238082752816
793,0.000012232937307385503
794,0.00012647206623555695
795,0.0006659361950598059
796,0.00023360432378014256
797,0.0005779984523965766
798,0.00045218958090911853
799,0.00021091770931777783
800,0.00044468483762256483
801,0.0002794909658234895
802,-0.0003996689060794383
803,0.00003402522191379173
804,0.00019077634980318916
805,-0.00017685652241123572
806,-0.00007100339472947289
807,0.00039137773284848756
808,0.00017676086032265576
809,0.0005331819876930415
810,0.000049047114959655056
811,0.0004038932421225062
812,0.000043429369181604985
813,-0.0003586975038630387
814,-0.000015006377011414517
815,0.0001825467497364872
816,-0.00014031912361932335
817,0.00003427600292116382
818,9.056129357958389e-6
819,-0.000021602744308929175
820,0.00005211338192051096
821,0.00001094750804628839
822,-0.0000479293659315863
823,0.00040005775998689665
824,-0.00036745211419825273
825,-0.00038837298848702455
826,-0.00041013186287940887
827,-0.000047166737375395405
828,-0.00009734461197497441
829,0.0001717985133218641
830,-0.00008043936148486989
831,-0.00008043423639516613
832,-0.00013342511140901505
833,-0.00029187498652640616
834,-0.00020718186174732993
835,-0.00008800673707177624
836,-0.0000487286124997349
837,-0.0002060834880311962
838,-0.0003062543636661501
839,-0.00040375523940458643
840,-0.0001533391152464954
841,-0.00042702799119186683
842,0.00013656713275930895
843,-0.0003562657433929577
844,-0.0004039756196486569
845,0.00003060050399222099
846,-0.0004007273724703138
847,-0.00018334124903625104
848,0.0002618208742944187
849,-0.0002675050024782941
850,-0.000054418879354379657
851,0.000253059243666172
852,0.00013958936658337072
853,-0.00009586551060277322
854,-0.00012115238789225019
855,0.00034750473471495
856,0.0001954868572188373
857,-0.00018934302038057827
858,0.000103328101916713
859,0.0002181932241107215
860,0.00036086334620145694
861,0.00006555546818892927
862,0.0001275915900731487
863,0.00006628071185412474
