mjd_minus_50000,component,S_mJy,e_S_mJy,nrao_project_code,nrao_obs_id,nrao_vla_configuration,nrao_num_scans,nrao_access_estsize_bytes,nrao_matched
537,D,5.792,0.058,AF310,AF310_1_50537.56898_50537.63090.exp,B,27,24174592,1
539,A,34.388,0.309,AF310,AF310_1_50539.50110_50539.54236.exp,B,17,16107520,1
539,B,16.958,0.155,AF310,AF310_1_50539.50110_50539.54236.exp,B,17,16107520,1
539,C,16.927,0.155,AF310,AF310_1_50539.50110_50539.54236.exp,B,17,16107520,1
539,D,5.826,0.061,AF310,AF310_1_50539.50110_50539.54236.exp,B,17,16107520,1
543,A,34.049,0.306,AF310,AF310_1_50543.51233_50543.55220.exp,B,17,15521792,1
543,B,16.921,0.155,AF310,AF310_1_50543.51233_50543.55220.exp,B,17,15521792,1
543,C,17.185,0.157,AF310,AF310_1_50543.51233_50543.55220.exp,B,17,15521792,1
543,D,5.830,0.062,AF310,AF310_1_50543.51233_50543.55220.exp,B,17,15521792,1
545,A,33.959,0.308,AF310,AF310_1_50545.50677_50545.54676.exp,B,17,15575040,1
545,B,17.031,0.156,AF310,AF310_1_50545.50677_50545.54676.exp,B,17,15575040,1
545,C,17.422,0.160,AF310,AF310_1_50545.50677_50545.54676.exp,B,17,15575040,1
