rat_id,n_qualifying_trials,n_trials_low,n_trials_mid,n_trials_high,has_ge200_in_all_terciles,H_allgamma,H_lowgamma,H_midgamma,H_highgamma,H_ctrl_choice_shuffle_s0_allgamma,H_ctrl_trial_mismatch_allgamma
K355,3497,1519,857,1121,True,3.285864,8.049745,1.583320,0.649455,,
K359,1721,772,443,506,True,2.167580,2.927197,1.319852,0.873053,,
K361,1708,789,436,483,True,5.065895,6.237709,0.510369,1.409955,,
K362,1411,624,347,440,True,3.326056,6.387477,1.745197,1.875000,,
K363,2017,863,534,620,True,2.394257,2.912959,1.870364,1.403872,,
K364,2695,1383,665,647,True,2.596372,2.946601,1.518901,0.970960,,
K366,1501,741,373,387,True,4.706275,12.477757,0.937549,0.721470,,
K368,1790,967,401,422,True,4.105062,4.416769,6.720800,1.783225,,
K369,1615,791,395,429,True,3.817306,8.921087,1.427091,16.505225,,
K370,2690,1341,675,674,True,2.870225,3.914774,1.208181,0.870515,,
K371,1069,249,276,544,True,0.693581,2.758933,,1.950026,,
K372,2931,1368,730,833,True,3.139236,4.510165,0.939220,0.817686,,
K373,2063,1019,531,513,True,2.645123,4.434604,1.785264,0.391510,,
K374,2881,1561,667,653,True,2.291493,2.910572,1.343405,0.942235,,18.880673
K375,1225,623,283,319,True,1.884886,3.293923,1.527020,1.706780,,
K377,2205,1062,553,590,True,2.043092,2.819370,0.939781,4.018101,,
K379,5812,2871,1437,1504,True,0.882726,0.858031,0.697463,0.795970,,
K380,2878,1449,712,717,True,3.449963,5.658844,1.405122,1.575686,,
K381,1727,902,410,415,True,1.750234,2.099004,1.267810,1.288139,,
K382,2765,1400,721,644,True,2.658428,5.369952,1.338770,1.463239,,
K383,1355,702,311,342,True,2.298296,2.032880,3.856541,1.214298,,
K384,1756,878,443,435,True,2.899394,1.375419,1.153147,1.613283,,
K385,2493,1234,635,624,True,2.700606,5.525800,1.648182,0.769761,,
K386,5570,2794,1337,1439,True,3.334117,6.353354,0.994261,1.146747,,
K387,10856,5489,2669,2698,True,2.922831,4.852666,1.554857,1.143535,,
K391,14165,7218,3494,3453,True,3.225503,5.484155,1.522209,1.257225,,16.871943
K392,13875,6866,3396,3613,True,2.975082,5.045986,1.412070,1.244844,,
K395,14629,6888,3614,4127,True,2.550406,4.807121,1.386636,1.253866,,
K397,9749,4743,2417,2589,True,2.893789,4.685340,1.376621,1.173556,,
K398,15811,7892,3907,4012,True,2.874682,4.922497,1.557658,1.030392,,
T001,10478,5307,2512,2659,True,3.166429,5.505099,1.245622,1.242537,,
T002,6688,3356,1711,1621,True,3.185139,6.241815,1.266144,0.976511,,
T003,13683,7096,3346,3241,True,2.817690,5.067062,1.295724,1.021298,,
T005,12595,6426,3097,3072,True,3.110033,5.997090,1.508996,1.229843,,
T006,20762,10440,5188,5134,True,3.032049,5.693667,1.277521,1.109998,,
T007,10617,5372,2699,2546,True,3.393159,6.393984,1.383333,1.377022,,
T008,10822,5456,2750,2616,True,3.164996,5.217608,1.420717,0.963556,,
T009,18006,9064,4515,4427,True,2.830353,5.737444,1.443746,1.023141,,
T011,31395,15931,7739,7725,True,2.951074,5.013911,1.418625,1.209660,,
T012,15678,7988,3848,3842,True,3.136432,6.335584,1.434367,1.178017,,4.764675
T013,11225,5738,2751,2736,True,2.978761,4.980522,1.427495,1.096808,,
T014,4678,2378,1141,1159,True,3.137634,5.320229,1.507186,1.352475,,
T018,11102,5589,2777,2736,True,2.688854,4.925547,1.228846,1.140919,,
T030,37454,18674,9501,9279,True,3.441222,6.137422,1.503361,1.173147,,
T031,15044,7579,3746,3719,True,2.990822,4.849791,1.306695,0.933158,,
T032,19591,9796,4933,4862,True,2.489693,4.020119,1.185130,1.358036,,
T033,47460,24031,11748,11681,True,3.278936,5.988395,1.437109,1.131085,,0.870460
T034,38817,19984,9484,9349,True,3.047049,5.677060,1.519836,1.334528,,2.767388
T035,25621,12970,6333,6318,True,2.942365,5.250545,1.487954,1.226893,,4.703980
T036,35794,18267,8866,8661,True,3.101310,5.411907,1.518180,1.215715,,3.882316
T051,7104,3541,1762,1801,True,2.821477,4.875098,1.352517,0.949395,,
T052,24812,12526,6127,6159,True,2.909620,4.641600,1.523932,1.261724,,3.210177
T055,21405,11821,5613,3971,True,2.956435,4.935941,1.503837,1.071094,,0.060892
T056,41402,21982,9720,9700,True,3.219769,5.692158,1.513551,1.176928,,
T057,14851,8075,4053,2723,True,2.837083,4.886213,1.423122,1.190764,,
T058,13006,7334,3326,2346,True,3.309283,5.856246,1.512495,1.398907,,
T060,57783,30477,13634,13672,True,3.018786,5.837786,1.436242,1.093668,,1.889782
T061,14443,7847,3808,2788,True,3.229523,4.884453,1.475356,1.228445,,
T062,19292,10538,5208,3546,True,3.711506,5.895997,1.510497,0.997371,,
T063,49487,27282,11055,11150,True,3.274184,5.696363,1.553205,1.191177,,4.654814
T064,17259,8771,4269,4219,True,2.572147,4.059749,1.505076,1.262921,,
T065,47724,23650,12216,11858,True,3.092381,5.239616,1.607185,1.284623,,6.596715
T066,7598,3868,1871,1859,True,2.736653,5.028943,1.364349,0.797017,,
T068,42449,23580,9453,9416,True,2.607725,4.180753,1.382103,1.107848,,2.870229
T072,32753,16477,8042,8234,True,2.817314,4.732291,1.475069,1.311068,,0.239060
