run,period,condition,observable,h,in_i4_grid,n_games,N_anchored,alphabet_K,I_plugin_nats,I_MM_nats,I_MM_clamped_june29_nats,H_R_cond_MM_nats,T_vs_targetperm_nats,T_boot_sd_nats,T_ratio_h_over_h_plus_8,I_MM_own_targetperm_floor_nats,T_vs_own_floor_nats,T_own_ratio_h_over_h_plus_8
matched,2016-01,REAL,san_canon,64,1,30000,724325,774,0.234764,0.146978,0.146978,5.789217,0.033586,0.002472,1.254675,0.112417,0.034561,1.284655
matched,2016-01,REAL,san_canon,68,0,30000,724325,774,0.230459,0.143249,0.143249,5.773796,0.031438,0.002168,1.371292,0.112118,0.031131,1.327852
matched,2016-01,REAL,san_canon,72,0,30000,724325,774,0.224784,0.137977,0.137977,5.760750,0.026769,0.002220,1.280064,0.111074,0.026903,1.302245
matched,2016-01,REAL,san_canon,76,0,30000,724325,774,0.220230,0.134207,0.134207,5.745427,0.022926,0.002157,1.258257,0.110763,0.023445,1.271442
matched,2016-01,REAL,san_canon,80,1,30000,724325,774,0.216078,0.130700,0.130700,5.728688,0.020912,0.002050,1.311998,0.110041,0.020659,1.257845
matched,2016-01,REAL,san_canon,84,0,30000,724325,774,0.211884,0.127486,0.127486,5.710463,0.018220,0.002019,1.239539,0.109047,0.018439,1.260603
matched,2016-01,REAL,san_canon,88,0,30000,724325,774,0.207433,0.123838,0.123838,5.693592,0.015939,0.002132,1.211716,0.107414,0.016424,1.301668
matched,2016-01,REAL,san_canon,92,0,30000,724325,774,0.203705,0.121063,0.121063,5.679391,0.014699,0.002075,,0.106435,0.014627,
matched,2016-01,REAL,san_canon,96,1,30000,724325,774,0.202535,0.119709,0.119709,5.685013,0.013154,0.001953,,0.107091,0.012618,
matched,2016-01,WITHIN_GAME_SCRAMBLE,san_canon,8,1,30000,724325,774,0.304929,0.162075,0.162075,5.800573,0.070379,,1.135460,0.144380,0.017695,1.036408
