2453193.650   0.78  3.254 0.034   3.618 0.047  4.023 0.068  5.139 0.180 FLWO    4Shooter
2453194.654   0.95  3.253 0.027   3.571 0.036  3.988 0.053  4.925 0.121 FLWO    4Shooter
2453195.652   0.63  3.208 0.038   3.610 0.054  3.938 0.074  4.952 0.179 FLWO    4Shooter
2453310.011   0.35  3.245 0.041   3.544 0.052  4.040 0.082  4.656 0.139 FLWO    Minicam
2453314.010   0.27  3.169 0.052   3.576 0.075  4.103 0.121  4.727 0.206 FLWO    Minicam
2453315.021   0.17  3.178 0.119   3.782 0.199  4.156 0.279  4.094 0.266 FLWO    Minicam
2453318.964   0.80  3.214 0.030   3.537 0.039  4.089 0.062  4.596 0.097 FLWO    Minicam
2453321.023   0.55  3.241 0.027   3.607 0.036  4.001 0.051  4.635 0.087 FLWO    Minicam
2453335.040   0.60  3.207 0.034   3.656 0.049  4.116 0.074  4.565 0.109 FLWO    Minicam
2453336.026   0.48  3.208 0.032   3.592 0.044  4.109 0.070  4.646 0.112 FLWO    Minicam
2453341.993   0.38  3.230 0.055   3.670 0.080  4.172 0.127  4.729 0.204 FLWO    Minicam
2453349.604   4.16  3.263 0.065   3.669 0.093  4.150 0.304  6.489 1.826 Wise    TAVAS
2453350.012   0.42  3.196 0.029   3.619 0.040  4.171 0.065  4.628 0.097 FLWO    Minicam
2453350.998   0.72  3.187 0.023   3.671 0.033  4.180 0.050  4.719 0.079 FLWO    Minicam
2453352.044   0.55  3.212 0.023   3.633 0.032  4.188 0.051  4.549 0.070 FLWO    Minicam
2453352.572   2.39  3.297 0.059   3.776 0.092  4.287 0.220  6.007 0.864 Wise    TAVAS
2453353.038   0.90  3.217 0.026   3.717 0.038  4.145 0.054  4.546 0.076 FLWO    Minicam
2453354.033   0.79  3.218 0.023   3.664 0.031  4.154 0.046  4.600 0.068 FLWO    Minicam
2453354.920   0.89  3.200 0.021   3.661 0.030  4.164 0.045  4.578 0.063 FLWO    Minicam
2453359.000   1.64  3.261 0.047   3.876 0.079  4.493 0.173  5.035 0.275 Wise    Tektronix
2453359.920   1.24  3.239 0.018   3.667 0.023  4.246 0.040  4.526 0.050 FLWO    Minicam
2453360.000   0.40  3.302 0.093   3.631 0.124  4.478 0.259  4.853 0.354 Wise    Tektronix
2453377.879   0.71  3.245 0.026   3.595 0.034  4.262 0.061  4.532 0.077 FLWO    Minicam
2453378.945   0.43  3.263 0.027   3.630 0.036  4.246 0.060  4.508 0.075 FLWO    Minicam
2453379.878   0.42  3.260 0.025   3.688 0.035  4.281 0.058  4.545 0.072 FLWO    Minicam
2453380.000   1.33  3.321 0.050   3.669 0.067  4.363 0.142  4.955 0.238 Wise    Tektronix
