Title: The Magnificent Five Images of Supernova Refsdal: Time Delay and 
       Magnification Measurements 
Authors: Kelly P.L., Rodney S., Treu T., Birrer S., Bonvin V., Dessart L., 
    Foley R.J., Filippenko A.V., Gilman D., Jha S., Hjorth J., Mandel K., 
    Millon M., Pierel J., Thorp S., Zitrin A., Broadhurst T., Chen W., 
    Diego J.M., Dressler A., Graur O., Jauzac M., Malkan M.A., McCully C., 
    Oguri M., Postman M., Schmidt K.B., Sharon K., Tucker B.E., 
    von der Linden A., Wambsganss J.
Table: Photometry of SN Refsdal
================================================================================
Byte-by-byte Description of file: apjac4ccbt3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  2 A2     ---    Obj       Image of SN Refsdal (see Table 2)
   4-  8 A5     ---    Filt      WFC3-IR Filter                  
  10- 27 F18.12 d      MJD       [56598.13/57756.91] Modified Julian date (1)
  29- 51 F23.20 uJy    Flux      [-0.06/0.8] Flux in Filt
  53- 73 F21.19 uJy  e_Flux      [0.0/0.67] Uncertainty in Flux
--------------------------------------------------------------------------------
Note (1): Modified Julian Date (JD-2,400,000.5) at the beginning of the 
    observation.
--------------------------------------------------------------------------------
S2 F125W 57756.902405560730  0.03388549025177181595 0.0183309354111212339 
S2 F160W 56598.137464738866 -0.00298135263815633858 0.0106614918526938985 
S2 F160W 56990.911639648344  0.29813526381563371093 0.0280125057362232491 
S2 F160W 56992.967001560341  0.28208182653325347689 0.0273361951053726765 
S2 F160W 56994.028526796457  0.31762872337280978474 0.0307650371765420677 
S2 F160W 56996.747330033155  0.35202894612076768288 0.0334405350150110969 
S2 F160W 56999.821592253844  0.33116766951137349695 0.0193572268753526913 
S2 F160W 57002.885894553809  0.35890899067035914038 0.0159561337764194261 
S2 F160W 57006.986896921757  0.36578903521995065340 0.0165504977130460709 
S2 F160W 57011.903083617071  0.39560256160151413551 0.0172494749517883746 
S2 F160W 57015.204278619523  0.38856263895369463901 0.0153540191895451539 
S2 F160W 57015.896929135815  0.39684438013670431111 0.0274585897611293248 
S2 F160W 57017.809589394135  0.39447393816627285279 0.0170819988593012839 
S2 F160W 57019.338542163568  0.42114374293091871859 0.0716707575167314509 
S2 F160W 57020.567061575479  0.42296625683790795014 0.0183017796101045856 
S2 F160W 57021.285227195491  0.37808844329197299761 0.0500692467924120713 
S2 F160W 57023.781263831639  0.43573615480746469286 0.0179994550808418585 
S2 F160W 57025.887103333247  0.43602725660783958617 0.0145181198022729264 
S2 F160W 57026.565049533572  0.44834956981504936468 0.0289786008296981923 
S2 F160W 57027.826208679551  0.42082939161668309058 0.0174403443147580980 
S2 F160W 57033.960926924206  0.54123017123453520671 0.0361517309771137024 
S2 F160W 57036.614766887018  0.56416365306650695377 0.0367596348375438045 
S2 F160W 57044.704263588465  0.60773726854725351743 0.0360295398692305757 
S2 F160W 57049.212550354780  0.56531032715810558553 0.0323352676459618057 
S2 F160W 57062.397546375934  0.66048427676078869109 0.0385013751406160440 
S2 F160W 57076.407325512293  0.55040356396732392774 0.0289210087117803619 
S2 F160W 57090.416520940264  0.62035068355483802272 0.0313603415604844643 
S2 F160W 57104.307667947927  0.74648483363068318663 0.0385729684185627253 
S2 F160W 57118.224891547376  0.65360423221119723358 0.0408303520085688681 
S2 F160W 57132.107073778854  0.76139159682146484442 0.0469309277099964409 
S2 F160W 57149.076257116845  0.74877818181388033913 0.0531572075159061283 
S2 F160W 57168.295298365476  0.67424436585997171711 0.0373392920587117885 
S2 F160W 57188.186823155025  0.65245755811959860182 0.0381907195770620836 
S2 F160W 57208.096912331239  0.60659059445565488566 0.0388820914857951408 
S2 F160W 57216.220323799003  0.65704425448599279580 0.0417498010304887743 
S2 F160W 57223.995584507284  0.57563039398249304934 0.0399320534155566606 
S2 F160W 57325.835615598982  0.17429446192298594931 0.0959865353666112808 
S2 F160W 57340.947184070443  0.16168104691540138851 0.0416159690054935458 
S2 F160W 57367.060765539114  0.15021430599941551498 0.0276345431424689647 
S2 F160W 57402.143706787225  0.19608126966335920338 0.0258366802674400431 
S2 F160W 57426.229887702328  0.17085443964819013729 0.0235959418133826898 
S2 F160W 57432.751080129463  0.19378792148016196761 0.0229191505774127141 
S2 F160W 57444.604334103562  0.16741441737339438078 0.0248973169420654908 
S2 F160W 57459.093709965309  0.10308600083471336495 0.0264572753366740000 
S2 F160W 57472.542856203509  0.12040077961785213001 0.0223064554320840311 
S2 F160W 57493.305442631514  0.15250765418261269524 0.0236655018493416580 
S2 F160W 57507.574261561371  0.10102198746983594158 0.0237283225333973224 
S2 F160W 57521.297722297233  0.13760089099183100969 0.0255883384243381050 
S2 F160W 57524.543925122380  0.09941664374159789319 0.0179679909427233990 
S2 F160W 57527.198626774210  0.10515001419959087159 0.0235590320568583624 
S2 F160W 57541.138375345305  0.12728082416744365690 0.0264236022898590404 
S2 F160W 57545.105496522934  0.14906763190781688322 0.0304306863682022484 
S2 F160W 57547.105403501417  0.13760089099183098194 0.0283014429335624908 
S2 F160W 57549.044124098931  0.09047258582712890129 0.0241995427806523493 
S2 F160W 57550.103356408421  0.12040077961785213001 0.0255546664297002686 
S2 F160W 57551.706210183693  0.13645421690023240568 0.0255461777625461128 
S2 F160W 57553.778596445147  0.12269412780104926863 0.0242302884996625570 
