sample,galaxy,R_kpc,R_over_Rd,V_obs_kms,V_bar_kms,g_obs,g_bar,e_gobs,g_pred_gate,g_pred_mond,dlnB_ring
sparc,DDO161,0.98,0.8032786885245902,20.0,15.923218895688144,1.3227670569160671e-11,8.384653305932656e-12,1.0026574291423791e-11,3.063172488798393e-11,3.494806929159465e-11,0.1791806488928717
sparc,DDO161,1.07,0.8770491803278689,21.4,17.01626721698975,1.387053535882188e-11,8.76989252214239e-12,5.224136214584317e-12,3.1904881108615394e-11,3.584828615532751e-11,0.4421563044856128
sparc,DDO161,1.54,1.2622950819672132,28.89999999999999,21.9869324827271,1.7576177080109268e-11,1.0173210234775974e-11,3.3327837508304098e-12,3.65351135303166e-11,3.9009121296682214e-11,0.3858420111791079
sparc,DDO161,2.02,1.6557377049180328,32.9,25.723351259118623,1.7365603518254825e-11,1.0615811092355807e-11,2.7974984391109597e-12,3.84237048247094e-11,3.9971840475740503e-11,0.2651134129861505
sparc,DDO161,2.49,2.0409836065573774,35.2,28.235113776997604,1.6126325987121068e-11,1.0375981575970537e-11,2.6388533433470838e-12,3.846462549737546e-11,3.9452049797212955e-11,0.1795893474061656
sparc,DDO161,2.96,2.4262295081967213,37.6,29.668475693907833,1.5478662595421844e-11,9.637140955901419e-12,2.5111660061721602e-12,3.718886347977337e-11,3.782213217376294e-11,0.1176613624138327
sparc,DDO161,3.43,2.8114754098360657,40.6,30.434074653256665,1.5574259328129777e-11,8.751359765370242e-12,2.823314006281655e-12,3.5394456313992526e-11,3.580532592974295e-11,0.0699528669617886
sparc,DDO161,3.9,3.19672131147541,42.7,31.13092433577904,1.515097556577184e-11,8.053207318582193e-12,2.30635459432124e-12,3.3888165642395604e-11,3.4160921041479156e-11,0.0490226575725274
sparc,DDO161,4.37,3.5819672131147544,45.5,31.52709469646704,1.5352913784833404e-11,7.371161393006307e-12,2.0178115260066755e-12,3.2317717424599064e-11,3.2501010652970216e-11,0.03195454627318
sparc,DDO161,4.86,3.9836065573770494,48.89999999999999,31.8460578408066,1.5945234248379134e-11,6.762768866392585e-12,1.278227367150229e-12,3.084653174777946e-11,3.0969576666803577e-11,0.020526104043423
sparc,DDO161,5.34,4.377049180327869,51.5,32.106294554183606,1.6096173914660706e-11,6.255882300723215e-12,9.563940228905196e-13,2.9567639129327635e-11,2.965210597959276e-11,0.0128285853893985
sparc,DDO161,5.81,4.7622950819672125,52.99999999999999,32.2432016090214,1.5668414843458213e-11,5.798953683387733e-12,1.09974534372952e-12,2.8368927960112097e-11,2.8427945243937102e-11,0.0079069651928707
sparc,DDO161,6.28,5.147540983606557,55.00000000000001,32.51784433199716,1.5610441641033766e-11,5.456740567845898e-12,8.40125586499272e-13,2.744396526193921e-11,2.7485830096158318e-11,0.0046680546508039
sparc,DDO161,6.75,5.532786885245902,57.599999999999994,32.81144541162428,1.5929078363476943e-11,5.1688794873529385e-12,5.4756206874452e-13,2.664485940916581e-11,2.6674874843750345e-11,0.0027207473673087
sparc,DDO161,7.22,5.918032786885246,59.7,33.25480717129479,1.5997824179661726e-11,4.963878296849267e-12,6.377692051523436e-13,2.6064415237659017e-11,2.6086219472427727e-11,0.0014411426416096
sparc,DDO161,7.69,6.303278688524591,60.49999999999999,33.86794059283793,1.5425308705056873e-11,4.8339337453031355e-12,6.425087262271626e-13,2.5691948125358108e-11,2.5707989285370697e-11,5.081631269909792e-05
sparc,DDO161,8.16,6.688524590163935,61.8,34.509787017598356,1.51682768301685e-11,4.729811729893684e-12,6.528740512661523e-13,2.5390038562607503e-11,2.540193544239528e-11,-0.0008634051154881
sparc,DDO161,8.64,7.081967213114755,62.89999999999999,34.899427645736544,1.4840106005266873e-11,4.568486242133701e-12,6.37015679081408e-13,2.491350147526711e-11,2.4922269616086228e-11,-0.0015509639119992
sparc,DDO161,9.11,7.467213114754098,62.99999999999999,35.323005251535434,1.4119267837326769e-11,4.43860368704203e-12,9.36802215238506e-13,2.4524497884102127e-11,2.453104983804709e-11,-0.0024221751641804
sparc,DDO161,9.58,7.852459016393443,64.5,35.34630390861257,1.4073540750428935e-11,4.226413258867808e-12,1.0386054879386317e-12,2.3876795349203075e-11,2.3881670152182108e-11,-0.0022681837759959
sparc,DDO161,10.05,8.237704918032788,65.6,35.240666849536204,1.3876855684600298e-11,4.004715131488247e-12,4.569208579075708e-13,2.318506112231352e-11,2.3188695984619248e-11,-0.0025963213030701
sparc,DDO161,10.52,8.62295081967213,67.5,34.5889657260809,1.4035932164953315e-11,3.68560566654248e-12,1.3391318984044349e-12,2.216000383773447e-11,2.21626895813797e-11,-0.0013023999476147
sparc,DDO161,10.99,9.008196721311476,66.8,33.80916739584103,1.3158448568271359e-11,3.3707047556291346e-12,9.33698296610872e-13,2.1111240806314995e-11,2.1113227048535928e-11,-0.0019041106551538
