survey,CID,IDSURVEY,zCMB,zCMBERR,zHEL,zHELERR,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB
PS1MD,320469,15,0.37087,0.001,0.372,0.001,0.033587,0.13508,1.50773,1.11441,22.0544,0.18603,2.70551e-05,4.63558e-06,0.0663747,-3.40774e-06,-5.94304e-07,34.4183,-4.8371,-999,-999,21.5172,-17.5088,250,0.0178658,11.5,0.199,55869.5,0.8887,17,15.3321,0.57158
PS1MD,000199,15,0.3716,0.001,0.37,0.001,-0.110945,0.024467,0.89801,0.2289,21.7392,0.0286802,3.61669e-05,9.55364e-07,0.000603607,-4.84859e-08,-1.76267e-08,151.231,2.5909,-999,-999,23.5326,15.7583,250,0.0260279,10.475,0.379,55214.5,0.2572,50,42.0117,0.78177
SNLS,05D4fo,4,0.3715,0.001,0.373,0.001,-0.058701,0.022359,-0.704725,0.086949,22.1759,0.0263748,2.41908e-05,5.87646e-07,-0.000176018,-7.71785e-09,-1.04047e-08,333.837,-17.2681,-999,-999,-9.0,-5.2531,250,0.0223512,8.381,0.3655,53658.2,0.0807,43,29.1984,0.94652
SNLS,05D4cw,4,0.37351,0.001,0.375,0.001,-0.133616,0.02461,-0.841889,0.10283,21.8814,0.0278351,3.17289e-05,8.13437e-07,-0.000144119,-1.02237e-08,-1.47917e-08,333.709,-17.7388,-999,-999,-9.0,-4.8316,250,0.0219016,10.503,0.0725,53580.4,0.1636,49,79.4053,0.00387586
SDSS,16232,1,0.37426,5e-05,0.37573,5e-05,-0.119822,0.072031,-0.021827,0.88417,21.9013,0.0880741,3.11521e-05,2.52703e-06,0.0326075,-1.56247e-06,-8.73821e-08,17.2054,-0.9896,-9,-9,1.535,-21.9358,250,0.0616878,10.651,0.173,54045.3,0.8822,44,33.9919,0.86169
PS1MD,590031,15,0.37859,0.001,0.377,0.001,-0.118133,0.056275,-0.722859,0.60977,21.9688,0.0848285,2.92737e-05,2.28716e-06,0.0199083,-1.1343e-06,-1.13209e-07,149.073,2.0023,-999,-999,21.2403,15.3693,250,0.0158778,10.283,0.147,56647.8,0.4768,24,23.6391,0.48238
SDSS,7779,1,0.37986,0.0005,0.3812,0.0005,-0.147113,0.050595,0.32675,0.91593,21.6827,0.0569817,3.80998e-05,1.99956e-06,0.013638,-9.13939e-07,-2.77221e-08,310.08,-0.0072,-9,-9,3.325,-10.9475,250,0.056573,11.174,0.153,53675.8,0.9082,52,40.6936,0.87168
PS1MD,320099,15,0.37989,0.001,0.381,0.001,-0.056155,0.036924,0.58051,0.33997,21.915,0.0478848,3.07617e-05,1.3567e-06,0.00232947,-2.59498e-07,-3.71178e-08,36.0675,-3.916,-999,-999,19.4702,-17.5651,250,0.0278746,10.7107,0.1,55846.3,0.3436,47,32.4132,0.94798
PS1MD,500057,15,0.38052,0.01,0.38,0.01,-0.141546,0.030082,1.06665,0.37249,21.7566,0.0348797,3.55937e-05,1.14346e-06,0.00236254,-2.10227e-07,-2.36387e-08,214.473,53.8417,-999,-999,23.7364,-20.381,250,0.00763861,9.102,8.025,56393.7,0.4052,49,53.2311,0.31468
PS1MD,110425,15,0.38083,0.001,0.38,0.001,0.007796,0.035681,-0.198455,0.42094,22.2253,0.0473911,2.31139e-05,1.00889e-06,0.00295087,-2.63711e-07,-2.55464e-08,132.012,44.4493,-999,-999,22.0818,-19.918,250,0.022874,9.563,0.342,55555.1,0.3816,38,41.1843,0.33302
PS1MD,000011,15,0.3816,0.001,0.38,0.001,0.11588,0.040225,-2.14572,0.60143,22.8895,0.0444649,1.25373e-05,5.13447e-07,0.00555042,-1.0604e-07,-1.63869e-08,149.976,2.4119,-999,-999,20.715,15.2154,250,0.0152233,11.5,0.1,55210.8,0.5195,50,47.9528,0.55592
PS1MD,040150,15,0.38174,0.001,0.381,0.001,-0.047299,0.042998,-0.249703,0.5281,22.2007,0.0549233,2.3643e-05,1.19601e-06,0.00981085,-4.526e-07,-3.27428e-08,162.098,57.1482,-999,-999,22.9221,-23.1195,250,0.00652227,8.413,0.738,55337.8,0.3893,16,15.5566,0.48431
PS1MD,580275,15,0.3825,0.001,0.383,0.001,-0.083796,0.039481,-0.492266,0.93151,21.9555,0.0465067,2.96353e-05,1.26941e-06,0.00536672,-5.9177e-07,-2.62085e-08,54.1391,-28.6139,-999,-999,18.8483,4.8943,250,0.010939,11.33,0.127,56655.4,0.9333,18,10.9017,0.89848
