element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Na	2	"256.5476"	"0.0003"	""	""	"15"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"256.8104"	"0.0003"	""	""	"12"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"257.1103"	"0.0003"	"257.110"	"0.003"	"30"	""		"41.121292"	"45.94207"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	"2s2.2p5.(2P*<1/2>).6f"	"2[7/2]"	"3,4"	5	16		""	"L914"	
Na	2	"257.3910"	"0.0003"	"257.390"	"0.003"	"35"	""		"41.126538"	"45.94207"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"3"	"2s2.2p5.(2P*<1/2>).6f"	"2[7/2]"	"3,4"	7	16		""	"L914"	
Na	2	"257.5703"	"0.0003"	""	""	"15"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"257.7645"	"0.0003"	""	""	"15"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"258.6308"	"0.0003"	"258.6307"	"0.0009"	"550"	"5.80e+07"	C	"36.354688"	"41.147123"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	3	3		"T7663c79"	"L914"	
Na	2	"258.9269"	"0.0003"	"258.9271"	"0.0009"	"60"	""		"40.982896"	"45.769847"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"0"	"2s2.2p5.(2P*<3/2>).6f"	"2[3/2]"	"1"	1	3		""	"L914"	
Na	3	""	""	"259.2778"	"0.0019"	""	"4.70e+03"	E	"46.324504"	"51.104980"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(3P).3p"	"4D*"	"1/2"	4	2		"c51,T7317"	""	
Na	2	"259.3269"	"0.0003"	"259.3260"	"0.0010"	"40"	""		"40.993732"	"45.773321"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).6f"	"2[5/2]"	"2"	3	5		""	"L914"	
Na	1	"259.383"	"0.0004"	"259.38685"	"0.00013"	""	"8.13e+04"	B	"0.000000000"	"4.7784663"	"2p6.3s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"	2	4		"c30,T76n"	"L15055,L6096"	
Na	1	"259.393"	"0.0004"	"259.39190"	"0.00013"	""	"7.96e+04"	C+	"0.000000000"	"4.7783733"	"2p6.3s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"	2	2		"c30,T76n"	"L15055,L6096"	
Na	2	"259.4958"	"0.0003"	"259.4959"	"0.0010"	"600"	"3.71e+07"	B	"36.354688"	"41.131145"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"	3	3		"T7663"	"L914"	
Na	2	"260.0325"	"0.0003"	"260.0324"	"0.0010"	"45"	"4.9e+05"	E	"36.354688"	"41.121292"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	3	5		"T6036c79"	"L914"	
Na	2	"260.2974"	"0.0003"	""	""	"25"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"260.3563"	"0.0003"	"260.3562"	"0.0010"	"130"	""		"41.012615"	"45.773292"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).6f"	"2[5/2]"	"3"	5	7		""	"L914"	
Na	2	"260.5388"	"0.0003"	"260.5397"	"0.0010"	"45"	""		"41.012615"	"45.769940"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).6f"	"2[3/2]"	"2"	5	5		""	"L914"	
Na	2	"260.7393"	"0.0003"	""	""	"80"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"260.8856"	"0.0003"	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	3	""	""	"260.8861"	"0.0019"	""	"6.96e+04"	D+	"46.324504"	"51.075511"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(3P).3p"	"4D*"	"3/2"	4	4		"c51,T7317"	""	
Na	2	"261.1812"	"0.0003"	"261.1811"	"0.0010"	"850"	"2.2e+08"	E	"36.354688"	"41.100329"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	3	5		"T7663c78"	"L914"	
Na	2	"261.3486"	"0.0003"	""	""	"60"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"261.6833"	"0.0003"	""	""	"25"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"262.5515"	"0.0003"	"262.550"	"0.004"	"60"	""		"41.054025"	"45.77492"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"4"	"2s2.2p5.(2P*<3/2>).6f"	"2[7/2]"	"3,4"	9	16		""	"L914"	
Na	2	"262.6368"	"0.0003"	"262.6408"	"0.0010"	"40"	""		"41.054025"	"45.773292"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"4"	"2s2.2p5.(2P*<3/2>).6f"	"2[5/2]"	"3"	9	7		""	"L914"	
Na	2	"262.7414"	"0.0003"	"262.7414"	"0.0010"	"300"	""		"41.054025"	"45.771486"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"4"	"2s2.2p5.(2P*<3/2>).6f"	"2[9/2]"	"5"	9	11		""	"L914"	
Na	2	"262.9909"	"0.0003"	"262.990"	"0.004"	"60"	""		"41.061918"	"45.77492"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"	"2s2.2p5.(2P*<3/2>).6f"	"2[7/2]"	"3,4"	7	16		""	"L914"	
Na	2	"263.0766"	"0.0003"	"263.0792"	"0.0010"	"35*"	""		"41.061918"	"45.773321"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"	"2s2.2p5.(2P*<3/2>).6f"	"2[5/2]"	"2"	7	5		""	"L914"	
Na	2	"263.0766"	"0.0003"	"263.0808"	"0.0010"	"35*"	""		"41.061918"	"45.773292"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"	"2s2.2p5.(2P*<3/2>).6f"	"2[5/2]"	"3"	7	7		""	"L914"	
Na	2	"263.1812"	"0.0003"	"263.1812"	"0.0010"	"300"	""		"41.061918"	"45.771496"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"	"2s2.2p5.(2P*<3/2>).6f"	"2[9/2]"	"4"	7	9		""	"L914"	
Na	2	"263.6127"	"0.0003"	""	""	"35"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	3	"263.745"	"0.0010"	"263.7454"	"0.0020"	"0"	"2.15e+06"	B	"46.324504"	"51.024008"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(3P).3p"	"4D*"	"5/2"	4	6		"c51,T7317"	"L7396"	
Na	2	"263.7505"	"0.0003"	""	""	"90"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"264.7785"	"0.0003"	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"264.8532"	"0.0003"	"264.853"	"0.004"	"160"	""		"41.262215"	"45.94207"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"	"2s2.2p5.(2P*<1/2>).6f"	"2[7/2]"	"3,4"	5	16		""	"L914"	
Na	2	"265.0534"	"0.0003"	""	""	"35"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"265.1313"	"0.0003"	"265.132"	"0.004"	"200"	""		"41.267140"	"45.94207"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"3"	"2s2.2p5.(2P*<1/2>).6f"	"2[7/2]"	"3,4"	7	16		""	"L914"	
Na	2	"265.2430"	"0.0003"	"265.2435"	"0.0010"	"80"	""		"41.100329"	"45.773292"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).6f"	"2[5/2]"	"3"	5	7		""	"L914"	
Na	2	"265.4331"	"0.0003"	"265.4339"	"0.0010"	"50"	""		"41.100329"	"45.769940"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).6f"	"2[3/2]"	"2"	5	5		""	"L914"	
Na	2	"265.9029"	"0.0003"	""	""	"60"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"265.9810"	"0.0003"	"265.9810"	"0.0010"	"200"	""		"41.282097"	"45.942104?"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).6f"	"2[5/2]"	"3"	5	7		""	"L914"	
Na	2	"266.0997"	"0.0003"	"266.0997"	"0.0010"	"850"	"1.65e+08"	B+	"36.354688"	"41.012615"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	3	5		"T6036"	"L914"	
Na	2	"266.2394"	"0.0003"	""	""	"70"	""		""	""	""	""	""	""	""	""				""	"L914"	
