element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Si	2	""	"297.9096"	""	"5.44e+01"	B	"5.344700"	"9.505292"	"3s.3p2"	"4P"	"5/2"	"3s.3p2"	"2S"	"1/2"	6	2	E2	"c22"	""	
Si	3	"298.052"	"298.0525"	"5"	"2.37e+05"	D	"17.723025"	"21.881623"	"3s.3d"	"3D"	"2"	"3s.4p"	"1P*"	"1"	5	3		"c44"	"L4833"	
Si	3	""	"298.0739"	""	"8.24e+04"	E	"17.723324"	"21.881623"	"3s.3d"	"3D"	"1"	"3s.4p"	"1P*"	"1"	3	3		"c44"	""	
Si	1	"298.7645"	"298.76434"	"150"	"2.66e+06"	D+	"0.7809579"	"4.9296471"	"3s2.3p2"	"1D"	"2"	"3s2.3p.4s"	"3P*"	"1"	5	3		"T5814"	"L3521"	
Si	3	""	"299.2851"	""	"4.15e+05"	D	"26.598599"	"30.740071"	"3s.5p"	"1P*"	"1"	"3p.4p"	"1D"	"2"	3	5		"T6298c4"	""	
Si	1	""	"299.97808"	""	"6.57e-04"	D	"0.0000000"	"4.1319040"	"3s2.3p2"	"3P"	"0"	"3s.3p3"	"5S*"	"2"	1	5	M2	"c22"	""	
Si	1	"300.6739"	"300.67385"	"50"	"1.1e+03"	E	"0.0095610"	"4.1319040"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"5S*"	"2"	3	5		"T6066c4"	"L3521"	
Si	1	""	"300.67385"	""	"1.45e-03"	D	"0.0095610"	"4.1319040"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"5S*"	"2"	3	5	M2	"c22"	""	
Si	3	"301.309"	"301.3098"	"5"	"5.67e+06"	C	"26.655272"	"30.768916"	"3s.5p"	"3P*"	"2"	"3p.4p"	"3P"	"2"	5	5		"T6298c4,LS"	"L4833"	
Si	3	""	"301.3586"	""	"1.89e+06"	D+	"26.655939"	"30.768916"	"3s.5p"	"3P*"	"1"	"3p.4p"	"3P"	"2"	3	5		"T6298c4,LS"	""	
Si	1	"302.0004"	"302.00041"	"75"	"3.3e+03"	E	"0.0276679"	"4.1319040"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"5S*"	"2"	5	5		"T6066c4"	"L3521"	
