element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
K	1	"509.9200"	""	"509.920005"	"0.000018"	"11"	"8.064e+05"	A+	"1.6171130092"	"4.04787964"	"3p6.4p"	"2P*"	"3/2"	"3p6.9s"	"2S"	"1/2"	4	2		"T9168"	"L6096"	
K	1	""	""	"511.221380"	"0.000018"	""	"7.01e+04"	A	"1.6171130092"	"4.04169191"	"3p6.4p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"3/2"	4	4		"T9168"	""	
K	1	"511.2249"	""	"511.225448"	"0.000018"	"12"	"4.22e+05"	B+	"1.6171130092"	"4.04167262"	"3p6.4p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"5/2"	4	6		"T9168"	"L6096"	
K	2	"531.024"	"0.003"	"531.024"	"0.004"	"5"	"1.50e+07"		"21.180357"	"23.514521"	"3p5.3d"	"3F*"	"3"	"3p5.4p"	"3P"	"2"	7	5		"T8304"	"L3490"	
K	1	"532.3276"	""	"532.32786"	"0.00009"	"12"	"6.62e+05"	A+	"1.60995784350"	"3.9384048"	"3p6.4p"	"2P*"	"1/2"	"3p6.8s"	"2S"	"1/2"	2	2		"T9168"	"L6096"	
K	1	"533.9688"	""	"533.96873"	"0.00009"	"13"	"1.311e+06"	AA	"1.6171130092"	"3.9384048"	"3p6.4p"	"2P*"	"3/2"	"3p6.8s"	"2S"	"1/2"	4	2		"T9168"	"L6096"	
K	1	"534.2970"	""	"534.29693"	"0.00009"	"12"	"3.86e+05"	A	"1.60995784350"	"3.9298237"	"3p6.4p"	"2P*"	"1/2"	"3p6.6d"	"2D"	"3/2"	2	4		"T9168"	"L6096"	
K	1	""	""	"535.94998"	"0.00009"	""	"8.10e+04"	A	"1.6171130092"	"3.9298237"	"3p6.4p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"3/2"	4	4		"T9168"	""	
K	1	"535.9574"	""	"535.95761"	"0.00009"	"14"	"4.86e+05"	A	"1.6171130092"	"3.9297908"	"3p6.4p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"5/2"	4	6		"T9168"	"L6096"	
K	2	"547.013"	"0.003"	"547.008"	"0.004"	"6"	"2.07e+07"		"20.448453"	"22.714413"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3S"	"1"	5	3		"T8304"	"L3490"	
