wavenumber_cm_inv,intensity
9182.880490,1.08420000
9182.889970,1.08598000
9182.899440,0.65054900
9182.908920,0.09077070
9182.918400,0.20412100
9182.927870,0.35771500
9182.937350,-0.03213830
9182.946830,-0.10355300
9182.956300,0.13787300
9182.965780,-0.05579010
9182.975260,-0.22296000
9182.984740,0.07395040
9182.994210,0.21554500
9183.003690,-0.22057800
9183.013170,-0.81999600
9183.022640,-0.97327300
9183.032120,-0.79798000
9183.041600,-0.78928300
9183.051080,-0.56708800
9183.060550,0.26669500
9183.070030,0.80463000
9183.079510,0.49885000
9183.088980,0.26084000
9183.098460,0.36118800
9183.107940,0.04849020
9183.117420,-0.32569100
9183.126890,-0.12938600
9183.136370,-0.16569600
9183.145850,-0.59817400
9183.155320,-0.36220200
9183.164800,0.17283400
9183.174280,0.16143900
9183.183750,0.19048700
9183.193230,0.33983200
9183.202710,0.10110400
9183.212190,0.02369030
9183.221660,0.31678300
9183.231140,0.33739200
9183.240620,0.04415600
9183.250090,-0.13791100
9183.259570,0.07607440
9183.269050,0.53688300
9183.278530,0.83804100
9183.288000,0.97079600
9183.297480,0.84912100
9183.306960,0.59348600
9183.316430,0.79403900
9183.325910,0.88224500
9183.335390,0.55978800
9183.344870,0.88003500
9183.354340,0.94105900
9183.363820,-0.13130900
9183.373300,-0.25080300
9183.382770,0.58800400
9183.392250,0.42479500
9183.401730,0.32573900
9183.411200,1.02410000
9183.420680,0.96901600
9183.430160,0.41727500
9183.439640,0.46483700
9183.449110,0.63573800
9183.458590,0.40372700
9183.468070,-0.04626050
9183.477540,-0.28355400
9183.487020,-0.13446700
9183.496500,0.10538100
9183.505980,0.17504500
9183.515450,-0.16862400
9183.524930,-0.70101900
9183.534410,-0.65041500
9183.543880,-0.31366400
9183.553360,-0.46811800
9183.562840,-0.70483700
9183.572320,-0.48023100
9183.581790,0.01771990
9183.591270,0.36928200
9183.600750,0.42040300
9183.610220,0.41337100
9183.619700,0.19545300
9183.629180,-0.26182500
9183.638660,-0.21294300
9183.648130,0.06350220
9183.657610,-0.15576500
9183.667090,-0.41059600
9183.676560,-0.90484400
9183.686040,-1.98304000
9183.695520,-2.45303000
9183.704990,-2.10959000
9183.714470,-1.82236000
9183.723950,-1.26806000
9183.733430,-0.29896700
9183.742900,0.53386900
9183.752380,1.29698000
9183.761860,2.16246000
9183.771330,2.90620000
9183.780810,2.92325000
9183.790290,2.03886000
9183.799770,1.49768000
9183.809240,1.73486000
9183.818720,1.53255000
9183.828200,1.06371000
9183.837670,1.19400000
9183.847150,1.04422000
9183.856630,0.05974210
9183.866110,-0.71531400
9183.875580,-0.67389400
9183.885060,-0.31972000
9183.894540,-0.13452400
9183.904010,-0.00535781
9183.913490,0.20073400
9183.922970,0.40438700
9183.932440,0.74521400
9183.941920,1.05705000
9183.951400,0.87501200
9183.960880,0.51331700
9183.970350,0.48957900
9183.979830,0.69521200
9183.989310,0.88956500
9183.998780,0.89295100
9184.008260,0.68246800
9184.017740,0.19843800
9184.027220,-0.78842200
9184.036690,-1.59597000
9184.046170,-1.24728000
9184.055650,-0.33189000
9184.065120,0.01697360
9184.074600,-0.23441300
9184.084080,-0.34529500
9184.093560,0.20481000
9184.103030,0.91172400
9184.112510,1.11460000
9184.121990,1.16162000
9184.131460,1.29670000
9184.140940,1.11047000
9184.150420,0.67035500
9184.159890,0.45639800
9184.169370,0.36159000
9184.178850,-0.10303600
9184.188330,-0.53959000
9184.197800,-0.22844300
9184.207280,0.17926400
9184.216760,0.04441430
9184.226230,-0.18923300
9184.235710,-0.58936200
9184.245190,-0.94870300
9184.254670,-0.52667300
9184.264140,-0.14221700
9184.273620,-0.42001100
9184.283100,-0.51019800
9184.292570,-0.47029900
