ritz_wavenumber_cm_inv,ritz_unc_cm_inv,measured_wavenumber_cm_inv,measured_unc_cm_inv,relative_intensity,species,lower_level_energy,lower_J,upper_level_energy,upper_J,reference
7590.0421,0.0004,7590.0414,0.0006,23,Th II,26963,7/2_odd,34553,9/2,EHW03
7591.13389,0.00011,7591.1335,0.0006,19,Th I,24202,4_odd,31793,4,EHW03
7591.89929,0.00014,7591.8993,0.0007,15,Th I,24421,3_odd,32012,4,EHW03
7592.16552,0.00015,7592.1656,0.0008,9,Th I,24182,2_odd,31774,3,EHW03
7594.6952,0.0004,7594.6949,0.0004,110,Th I,34344,4_odd,41939,5,EHW03
7598.66491,0.00010,7598.6649,0.0005,45,Th I,12114,2_odd,19713,3,EHW03
-,-,7600.2626,0.0008,35,Ar I,113468,2_odd,121069,1,95WHA
7601.93762,0.00006,7601.9375,0.0005,63,Th I,21539,4_odd,29141,5,EHW03
7603.00102,0.00005,7603.0012,0.0003,220,Th I,19588,5_odd,27191,5,PE83
7603.23271,0.00020,7603.2323,0.0006,37,Th I,21594,3,29197,2_odd,EHW03
7604.35947,0.00016,7604.3588,0.0006,29,Th I,19713,3,27317,3_odd,EHW03
7604.66269,0.00010,7604.6610,0.0009,47,Th I,18431,3,26036,3_odd,PE83
7604.84774,0.00012,7604.84775,0.00013,940,Th II,6213,9/2,13818,7/2_odd,PE83
7605.1152,0.0014,7605.117,0.003,5,Ne I,163708,1,171313,0_odd,SBS
7605.63491,0.00010,7605.6346,0.0005,51,Th I,19986,6_odd,27591,5,EHW03
7606.5678,0.0003,7606.5677,0.0004,100,Th I,24307,2_odd,31914,1,EHW03
7606.9199,0.0004,7606.9202,0.0007,11,Th I,26504,2,34111,1_odd,EHW03
7610.49723,0.00013,7610.4990,0.0008,9,Th I,23655,4_odd,31265,3,EHW03
7611.6193,0.0003,7611.6199,0.0008,9,Th I,27784,2_odd,35395,2,EHW03
7613.8854,0.0004,7613.8859,0.0004,100,Th II,22106,5/2,29720,3/2_odd,EHW03
-,-,7613.8975,0.0005,50,Ar I,113643,1_odd,121257,1,95WHA
7614.93241,0.00015,7614.9322,0.0004,120,Th I,22399,5_odd,30014,4,EHW03
7615.26856,0.00005,7615.26856,0.00013,980,Th I,16783,4_odd,24399,3,PE83
7615.4078,0.0014,7615.4087,0.0012,12,Ne I,163709,2,171324,1_odd,SBS
7615.80034,0.00017,7615.8003,0.0006,31,Th II,9202,7/2_odd,16818,7/2,EHW03
7616.19059,0.00010,7616.1922,0.0006,23,Th I,20054,2,27670,3_odd,EHW03
7616.2846,0.0014,7616.285,0.003,6,Ne I,163708,1,171324,1_odd,SBS
7617.48570,0.00009,7617.4851,0.0005,49,Th I,15863,2,23481,1_odd,EHW03
7619.55403,0.00017,7619.5541,0.0007,17,Th I,20054,2,27674,2_odd,EHW03
7620.17509,0.00018,7620.1750,0.0005,53,Th I,24421,3_odd,32041,2,EHW03
7621.75434,0.00016,7621.7541,0.0005,53,Th I,24307,2_odd,31929,3,EHW03
7622.28783,0.00025,7622.283,0.003,0,Th I,21575,2,29197,1_odd,GBCZ74
7624.34410,0.00015,7624.3441,0.0006,19,Th I,26096,3_odd,33721,2,EHW03
7624.59967,0.00012,7624.5998,0.0006,19,Th I,22508,2_odd,30132,2,EHW03
-,-,7626.206,0.007,3,Ar I,114975,1_odd,122601,1,95WHA
7626.89855,0.00018,7626.8983,0.0005,49,Th I,25336,6_odd,32963,5,EHW03
-,-,7627.3554,0.0010,23,Ar I,113643,1_odd,121271,2,95WHA
7629.72974,0.00012,7629.7292,0.0006,23,Th I,13945,3_odd,21575,2,EHW03
7629.85456,0.00011,7629.8541,0.0006,29,Th I,21252,2_odd,28882,2,EHW03
7630.42102,0.00008,7630.4206,0.0005,49,Th I,22877,5_odd,30508,5,EHW03
7630.84540,0.00010,7630.8454,0.0005,79,Th I,24084,6_odd,31715,6,EHW03
7632.2748,0.0003,7632.2749,0.0006,21,Th III,13208,2_odd,20840,3,EHW03
7633.6000,0.0014,7633.6010,0.0023,6,Ne I,162899,2,170533,2_odd,SBS
7636.0481,0.0003,7636.0485,0.0005,47,Th II,15710,3/2_odd,23346,3/2,EHW03
7642.6512,0.0005,7642.6510,0.0005,45,Th I,35117,5_odd,42760,5,EHW03
7643.003,0.003,7643.003,0.003,10,Ar II,198813,5/2,191170,3/2_odd,95WHA
7643.40694,0.00009,7643.4082,0.0006,35,Th I,19948,4_odd,27591,5,EHW03
7647.91415,0.00023,7647.9140,0.0004,170,Th III,7500,3_odd,15148,4,PE83
7648.5262,0.0004,7648.5262,0.0008,23,Ar II,199982,3/2,192333,1/2_odd,95WHA
7648.53126,0.00006,7648.53127,0.00009,1800,Th I,10783,2_odd,18431,3,PE83
7649.36590,0.00009,7649.36570,0.00020,220,Th I,13945,3_odd,21594,3,KNS08
7649.40304,0.00013,7649.4019,0.0006,37,Th I,20322,5_odd,27971,5,EHW03
7652.6951,0.0003,7652.6956,0.0007,17,Th I,26036,3_odd,33689,2,EHW03
7653.3408,0.0003,7653.3408,0.0006,19,Th I,28480,4_odd,36133,5,EHW03
7655.5687,0.0014,7655.5690,0.0018,6,Ne I,163657,1,171313,0_odd,SBS
7656.03625,0.00024,7656.033,0.003,0,Th I,26645,5_odd,34301,4,GBCZ74
7657.16080,0.00008,7657.1609,0.0005,43,Th I,15863,2,23521,3_odd,EHW03
7657.28524,0.00003,7657.28510,0.00017,550,Th I,2869,3,10526,3_odd,KNS08
7657.9315,0.0014,7657.9304,0.0018,12,Ne I,162899,2,170557,1_odd,SBS
-,-,7660.0426,0.0006,43,Ar I,114975,1_odd,122635,2,95WHA
7661.31123,0.00007,7661.3110,0.0005,93,Th I,20566,4_odd,28227,4,EHW03
7661.83399,0.00015,7661.8342,0.0006,29,Th I,23609,5_odd,31271,5,EHW03
7663.14902,0.00023,7663.1493,0.0008,9,Th II,21682,7/2_odd,29345,5/2,EHW03
