#REFERENCE 3 104.6587124 -55.9571457
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
 K1c.2    57.171    49.244    75.455     0.986     5.904    18.952     0.860      3.19  -399292.4      27.4    ++
 K1c.2    52.466    55.470    76.351     0.921     2.366    26.504     1.867      3.56  -399290.2      29.6    ++
 K1c.2    54.956    53.117    76.430     0.000     0.000    26.396     1.419      3.55  -399283.8      36.0    +-
 K1c.1    53.035    55.180    76.535     0.997    12.296    36.823     2.944      3.92  -399366.7     -46.9    ++
 K1c.1    57.255    49.462    75.661     0.000     0.000    19.501     0.888      3.23  -399372.4     -52.6    ++
 K1b.3    57.332    49.327    75.632     0.999    19.132    18.120     0.828      3.15  -399374.9       0.0    ++
 K1b.3    53.416    54.860    76.570     0.000     0.000    60.993     6.666      4.46  -399363.2      11.7    ++
 K1b.2    57.318    49.380    75.656     0.998    14.463    18.505     0.845      3.17  -399380.6      -5.7    ++
 K1b.2    53.359    54.922    76.575     0.917     2.296    54.256     5.425      4.34  -399370.2       4.6    ++
 K1b.1    57.523    49.343    75.787     0.000     0.000    16.877     0.778      3.07  -399455.8     -81.0    ++
 N5b.3    34.623    13.325    37.099     0.954     3.176    17.982     0.832      3.14  -390792.8       0.0    ++
 N5b.3    23.488    24.416    33.879     0.383     0.415     5.416     0.310      1.83  -390412.1     380.7    +-
 N5b.3    -1.251    38.703    38.723     0.000     0.000     4.806     0.067      1.70  -393598.9   -2806.0    ++
 N5b.1    -0.577    39.073    39.077     0.975     4.349     4.961     0.072      1.74  -393319.5   -2526.7    ++
 N5b.1    23.388    25.136    34.334     0.954     3.184     5.092     0.355      1.77  -390352.2     440.7    +-
 N5b.1    35.518    13.012    37.827     0.000     0.000    21.908     1.175      3.35  -390812.1     -19.3    ++
 N5a.3    36.593    11.264    38.288     0.888     1.931    11.346     0.396      2.64  -390884.8       0.0    ++
 N5a.3    22.767    24.916    33.751     0.276     0.287     4.747     0.342      1.69  -390246.8     638.0    +-
 N5a.3    -0.573    38.411    38.415     0.000     0.000     5.000     0.073      1.75  -392995.6   -2110.8    ++
