day_key,schema_variant,utc_iso,time,tab_name,start,stop,image0_time,image1_time,image2_time,image3_time,image0_name,image1_name,image2_name,image3_name,image0_human_time,image1_human_time,image2_human_time,image3_human_time,new_path,found
2022_153,C16,2022-06-02T20:49:30.557000Z,2022-153T20:49:30.557000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047768.737594,3737047769.521773,N/A,N/A,img0_image%d0_3737047768.737594.png,img0_image%d1_3737047769.521773.png,N/A,N/A,2022-153T20:49:28.737000,2022-153T20:49:29.521000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/300p000000T2,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:50:25.500000Z,2022-153T20:50:25.500000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047823.930953,3737047824.607711,N/A,N/A,img0_image%d0_3737047823.930953.png,img0_image%d1_3737047824.607711.png,N/A,N/A,2022-153T20:50:23.930000,2022-153T20:50:24.607000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/300p000000T3,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:51:21.280000Z,2022-153T20:51:21.280000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047879.779586,3737047880.449508,N/A,N/A,img0_image%d0_3737047879.779586.png,img0_image%d1_3737047880.449508.png,N/A,N/A,2022-153T20:51:19.779000,2022-153T20:51:20.449000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/300p000000T4,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:52:23.713000Z,2022-153T20:52:23.713000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047942.036422,3737047943.047164,N/A,N/A,img0_image%d0_3737047942.036422.png,img0_image%d1_3737047943.047164.png,N/A,N/A,2022-153T20:52:22.036000,2022-153T20:52:23.047000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/300p000000T5,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:53:17.555000Z,2022-153T20:53:17.555000,Tables/220602_V40_3737037480_DiffMZI_30sep_T10p0ms/V40-00011-02777-Phase_330p000000T01-RDiffMZI_30sep_T10p0ms.cet,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/330p000000T0,N/A
2022_153,C16,2022-06-02T20:54:29.611000Z,2022-153T20:54:29.611000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737048067.600875,3737048068.303023,N/A,N/A,img0_image%d0_3737048067.600875.png,img0_image%d1_3737048068.303023.png,N/A,N/A,2022-153T20:54:27.600000,2022-153T20:54:28.303000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/330p000000T1,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:55:40.036000Z,2022-153T20:55:40.036000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737048137.555953,3737048138.558883,N/A,N/A,img0_image%d0_3737048137.555953.png,img0_image%d1_3737048138.558883.png,N/A,N/A,2022-153T20:55:37.555000,2022-153T20:55:38.558000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/330p000000T2,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:56:34.562000Z,2022-153T20:56:34.562000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737048192.729781,3737048193.596969,N/A,N/A,img0_image%d0_3737048192.729781.png,img0_image%d1_3737048193.596969.png,N/A,N/A,2022-153T20:56:32.729000,2022-153T20:56:33.596000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/330p000000T3,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:57:31.304000Z,2022-153T20:57:31.304000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737048249.112594,3737048250.110641,N/A,N/A,img0_image%d0_3737048249.112594.png,img0_image%d1_3737048250.110641.png,N/A,N/A,2022-153T20:57:29.112000,2022-153T20:57:30.110000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/330p000000T4,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:58:45.927000Z,2022-153T20:58:45.927000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737048323.721969,3737048324.801070,N/A,N/A,img0_image%d0_3737048323.721969.png,img0_image%d1_3737048324.801070.png,N/A,N/A,2022-153T20:58:43.721000,2022-153T20:58:44.801000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/330p000000T5,Found 2022/153 2022/153
