galaxy,--------------------------- disk (2*Re) ---------------------------,,,------------------------- 2nd disk (2*Re) -------------------------,,,---------------------------- bulge (2*Re) --------------------------,,,---------------------------------- bar ---------------------------------,,,,,--------------- nuclear bar ----------------,,,------------------------------------------------------------------------ lenses ------------------------------------------------------------------------,,,,,,------------------------------------------------------------------------------------------------------------------- rings -------------------------------------------------------------------------------------------------------------------,,,,,,,,------------------ center (edge) ------------------,,
,axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"R[""]",Ref.,QFlag,axis_ratio,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]"
NGC4941,1.305,23.5,71.7,-999,-999,-999,1.647,13.5,8.6,2.128,16,93,2,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,3.0
NGC4951,2.967,91.5,27.0,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.000,91.2,5.0
NGC5042,1.773,15.9,60.2,-999,-999,-999,1.312,78.2,18.7,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.000,0.0,5.0
NGC5068,1.027,99.1,100.2,-999,-999,-999,-999,-999,-999,2.041,153,34.9,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.231,342.4,4.0
NGC5128,-999,-999,-999.0,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,2.0
NGC5134,1.034,79,38.9,-999,-999,-999,1.29,152.9,4.0,2.564,153,45.4,1,1,-999,-999,-999,1.493,143,24.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,3.0
NGC5248,1.279,103.9,7.0,1.279,103.9,53.2,-999,-999,-999,2.036,135,95,5,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.333,142,6.6,2.1,-999,-999,-999,-999,1.477,109.2,16.0
NGC5530,2.083,-53,55.8,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.123,305.4,5.0
NGC5643,1.114,131.2,66.6,-999,-999,-999,1,0,2.588,2.857,84,54,2,1,-999,-999,-999,1.433,84,21.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,2.0
NGC6300,1.443,104.8,66.4,-999,-999,-999,1,0,3.467,1.818,71,36,2,1,-999,-999,-999,1.099,155,17.7,-999,-999,-999,1.958,127,62.5,15.5,-999,-999,-999,-999,1,0,3.0
NGC6744,1.587,6.5,163.4,-999,-999,-999,-999,-999,-999,3.125,179,90,2,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.625,10,92,14,-999,-999,-999,-999,1.650,14.0,10.0
NGC7456,2.89,22.9,65.8,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.000,0.0,3.0
NGC7496,1.043,33.2,48.8,-999,-999,-999,-999,-999,-999,4.167,147,37.6,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.000,0.0,4.0
IC1954,1.786,61,39.8,-999,-999,-999,-999,-999,-999,2.476,90,6.5,3,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.841,63.4,3.0
IC5273,1.397,49,39.8,-999,-999,-999,-999,-999,-999,3.333,39,19.8,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.624,234.1,5.0
IC5332,1.121,74.7,109.4,-999,-999,-999,2.033,126.6,17.0,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.556,135.0,8.0
